"R_control" [62] "right_control"
"L_control" [59] "left_control"
"R_shift" [60] "right_shift"
"L_shift" [56] "left_shift"
"tab" [48] "tab"
"R_option" [61] "right_option"
"L_option" [58] "left_option"
"R_command" [54] "right_command"
"L_command" [55] "left_command"
"return" [36] "return"
"delete" [51] "delete"
"esc" [53] "esc"
"space" [49] "space"
"あ" [20] "3"
"い" [14] "E"
"う" [21] "4"
"え" [23] "5"
"お" [22] "6"
"か" [17] "T"
"き" [5] "G"
"く" [4] "H"
"け" [39] "'"
"こ" [11] "B"
"さ" [7] "X"
"し" [2] "D"
"す" [15] "R"
"せ" [35] "P"
"そ" [8] "C"
"た" [12] "Q"
"ち" [0] "A"
"つ" [6] "Z"
"て" [13] "W"
"と" [1] "S"
"な" [32] "U"
"に" [34] "I"
"ぬ" [18] "1"
"ね" [43] ","
"の" [40] "K"
"は" [3] "F"
"ひ" [9] "V"
"ふ" [19] "2"
"へ" [42] "\"
"ほ" [27] "-"
"ま" [38] "J"
"み" [45] "N"
"む" [30] "]"
"め" [44] "/"
"も" [46] "M"
"や" [26] "7"
"ゆ" [28] "8"
"よ" [25] "9"
"ら" [31] "O"
"り" [37] "L"
"る" [47] "."
"れ" [41] ";"
"ろ" [421,39] "shift_'"
"わ" [29] "0"
"を" [56,29] "shift_0"
"ん" [16] "Y"
"゛" [33] "["
"゜" [24] "="
"ぁ" [421,20] "shift_3"
"ぃ" [421,14] "shift_E"
"ぅ" [421,21] "shift_4"
"ぇ" [421,23] "shift_5"
"ぉ" [421,22] "shift_6"
"ゃ" [421,26] "shift_7"
"ゅ" [421,28] "shift_8"
"ょ" [421,25] "shift_9"
"っ" [421,6] "shift_z"
"、" [421,43] "shift_,"
"。" [421,47] "shift_."
"・" [421,44] "shift_/"
"「" [421,24] "shift_="
"」" [421,33] "shift_["
"ー" [421,30] "shift_]"
"｀" [50] "`"
"〜" [421,50] "shift_`"
